DAYS(adjusted)	TIMES (Fractional)
1	0.00829861
1	0.01351852
1	0.04061343
1	0.05105324
1	0.05311343
1	0.05937500
1	0.09372685
1	0.11355324
1	0.14686343
1	0.17914352
1	0.18747685
1	0.19589120
1	0.20729167
1	0.20832176
1	0.21877315
1	0.22913194
1	0.23018519
1	0.24274306
1	0.24373843
1	0.25103009
1	0.25307870
1	0.25932870
1	0.26349537
1	0.26987269
1	0.27599537
1	0.27818287
1	0.27912037
1	0.28432870
1	0.28954861
1	0.29266204
1	0.29370370
1	0.29474537
1	0.29579861
1	0.29997685
1	0.30101852
1	0.30307870
1	0.30517361
1	0.30623843
1	0.30828704
1	0.31038194
1	0.31146991
1	0.31246528
1	0.31349537
1	0.31453704
1	0.31560185
1	0.31766204
1	0.31870370
1	0.32078704
2	0.00626157
2	0.01143519
2	0.01474537
2	0.02508102
2	0.02930556
2	0.03546296
2	0.05942130
2	0.07924769
2	0.08748843
2	0.17812500
2	0.19582176
2	0.20321759
2	0.20938657
2	0.22082176
2	0.22501157
2	0.22717593
2	0.22822917
2	0.23340278
2	0.24373843
2	0.24903935
2	0.25836806
2	0.26253472
2	0.26663194
2	0.26986111
2	0.27600694
2	0.27809028
2	0.28020833
2	0.28135417
2	0.28443287
2	0.28542824
2	0.28954861
2	0.29274306
2	0.29371528
2	0.29689815
2	0.29790509
2	0.29894676
2	0.30206019
2	0.30418981
2	0.30627315
2	0.30724537
2	0.30835648
2	0.30944444
2	0.31050926
2	0.31142361
2	0.31461806
2	0.31561343
2	0.31770833
2	0.32092593
